Firm,Segment,HQ Region,Founded,Team Size,Annual Rev.,Rev Growth (YoY),R&D Spend,AI Program,Cloud Stack,Digital Sales,Compliance Tier,Fraud Exposure,Funding Stage,Customer Accts
OakCircuit OpsBanking SaaS profile,Banking SaaS,"New York, NY",2002,417,141638144.0,15.5,22340000.0,1,Cloud-Forward,73%,Tier 3,Moderate,Series C,339.9K
QuantumWave SystemsBanking SaaS profile,Banking SaaS,"San Francisco, CA",2013,343,110700000.0,18.5,,1,Cloud native,88%,Tier 3,Elevated,Series C,"108,727"
OakSignal SystemsBanking SaaS profile,Banking SaaS,"New York, NY",2003,295,104620000.0,14.7,15310000.0,1,Cloud-Forward,68%,Tier 2,Low,Series C,49.6K
BeaconSummit OpsBanking SaaS profile,Banking SaaS,"Charlotte, NC",2006,263,81900000.0,15.0,13050000.0,0,Cloud-Forward,70%,Tier 3,Moderate,Series C,"332,335"
NorthMint SuiteBanking SaaS profile,Banking SaaS,"New York, NY",2001,163,65700000.0,5.6,9800000.0,0,Cloud-Native,60%,Tier 3,Moderate,Series B,"97,069"
IronLedger CoreBanking SaaS profile,Banking SaaS,"Atlanta, GA",2003,164,65550000.0,10.6,9660000.0,1,Hybrid Stack,69%,Tier 3,Moderate,Series B,"102,781"
GraniteSignal CoreBanking SaaS profile,Banking SaaS,"New York, NY",2004,144,57310000.0,12.0,9910000.0,1,Cloud-Forward,57%,Tier 3,Moderate,Series B,"98,701"
FrontierHarbor SuiteBanking SaaS profile,Banking SaaS,"Boston, MA",2019,171,55960000.0,12.2,,0,Cloud native,70%,Tier 3,Moderate,Series B,"160,877"
OakFoundry OpsBanking SaaS profile,Banking SaaS,"Boston, MA",2017,98,42730000.0,9.5,,0,Hybrid Stack,64%,Tier 3,Moderate,Series B,"63,433"
NorthFoundry SystemsBanking SaaS profile,Banking SaaS,"Seattle, WA",2021,166,38200000.0,7.0,4033209.0,1,Hybrid,76%,Tier 2,Low,Series B,"77,126"
CobaltFoundry CoreBanking SaaS profile,Banking SaaS,"Seattle, WA",2005,103,27360000.0,8.3,4099999.9999999995,1,Cloud forward,52%,Tier 3,Moderate,Series B,"181,154"
SignalCircuit CoreBanking SaaS profile,Banking SaaS,"Chicago, IL",2006,52,13600000.0,8.1,2400000.0,0,Cloud-Forward,78%,Tier 2,Low,Series A,"160,254"
AtlasPoint SureInsurTech profile,InsurTech,"Seattle, WA",1998,762,149113475.0,10.8,14127072.0,0,Hybrid Stack,75%,Tier 3,Moderate,Series C,"710,368"
SignalPeak CoverInsurTech profile,InsurTech,"Boston, MA",2017,782,147450000.0,11.7,14340000.0,1,Legacy Core,50%,Tier 3,Moderate,Series C,867.8K
CrestLine ShieldInsurTech profile,InsurTech,"San Francisco, CA",2002,559,140380000.0,8.3,14060000.0,0,Cloud-Native,82%,Tier 2,Moderate,Series C,599.8K
NorthLedger ShieldInsurTech profile,InsurTech,"Boston, MA",2020,534,127053274.0,8.6,,1,Cloud-Forward,67%,Tier 2,Low,Series C,491.3K
FrontierCircuit PolicyInsurTech profile,InsurTech,"Boston, MA",2012,404,112872694.0,6.3,10400000.0,0,Cloud-Forward,75%,Tier 3,Moderate,Series C,"1,205,410"
PrimeCircuit ShieldInsurTech profile,InsurTech,"New York, NY",2007,385,108710000.0,13.7,12310000.0,0,Cloud-Native,83%,Tier 4,Elevated,Series C,469.4K
CrestLedger ShieldInsurTech profile,InsurTech,"San Francisco, CA",2008,203,56450000.0,5.7,5798556.0,0,Cloud forward,79%,Tier 3,Moderate,Series B,"922,148"
